id,id_breaker,ad_account_id,ad_account_name,dimension_type,dimension_value,pulse_start_date,pulse_end_date,internal_id,cuts,interval,interval_start_date,interval_end_date,int_pulse_start_date,int_pulse_end_date,is_running_pulse,control_reach,%CtrlReach,xMinReachFor1Conversion,ctrl_amount_spent_usd,ctrl_conv,ctrl_revenue,test_reach,test_amount_spent_usd,test_conv,test_revenue,orders(lt),orders(i),revenue(lt),revenue(i),conversion_type,CR Test,CR Control,Base Conv,%inc,Std Error Test,St. Error Control,z score,P value,Normalised p Value,NormP*Reach,inc*NormP*reach,inc*Test Reach,Stat Sig
80eeb1792c02a9af375f78f7b69a96ce581ec540,4205d5e0a2e93d4f7db850540e95e671645f8b12,124170767729247,Beer Hawk Ltd,Adset,AQ_CA_VAC001_D30_P000_1865_U_CS00_IN000_B000_DM000_MC000_L00_ PV00_MD00,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,1955,0.109035136642499,17.8817624093698,24.14,16,1337.96,17930,1116.65,164,13180.45,164,17.25831202032,13180.45,1387.02633334284,Beer Hawk - Orders,0.00914668153932,0.008184143222506,146.74168797954,11%,0.000710961884908,0.002037646079645,-0.446008433620566,0.327795576967691,11.9807808142777,214815.4,22605.8,1886.83862516375,
80eeb1792c02a9af375f78f7b69a96ce581ec540,fe090962e114dc4386bc4d418e34110e07b4a803,124170767729247,Beer Hawk Ltd,Adset,AQ_CA_VAC001_D060_P000_1865_U_CS00_IN000_B000_DM000_MC000_L00_ PV00_MD00,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,1184,0.141288782816229,2.68448687350835,8.07,7,308.33,8380,143.82,19,1849.73,19,-30.543918918917,1849.73,-2973.57911273096,Beer Hawk - Orders,0.002267303102625,0.005912162162162,49.5439189189189,-161%,0.000519564996045,0.002227971842511,1.59320593683658,0.944443000084236,2.52341766109785,21146.24,-33994.16,-13471.4758179232,0.94
2cf2b6d83480d0f891f7ab100cbc41f6cce7e8d3,ebd01e4f7ba4d22e3ad524ac53d4f634ea2c20de,124170767729247,Beer Hawk Ltd,Summary,,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,33213,0.146789355749725,103.486495803556,153.99,63,3847.52,226263,5183.05999999999,705,47871.91,705,275.813566976385,47871.91,18728.6840497481,Beer Hawk - Orders,0.003115843067581,0.001896847619908,429.186433023214,39%,0.000117166475053,0.000238753574786,-4.5834912849926,2.2863797565008E-06,103.486495803556,23415165,9160596,88519.7235530051,1
80eeb1792c02a9af375f78f7b69a96ce581ec540,f4856415121a001021e798a3b9f7007ed4d0b666,124170767729247,Beer Hawk Ltd,Adset,"Oktoberfest-OktoberfestWebsiteVisitorsLookalikes2to4PC-facebook,instagram,audience_network,messenger-desktopfeed,mobilefeed,rightcolumn,instagramstream,mobileexternal-All-1865-GB",43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,1588,0.23539875481767,0.941595019270679,3.19,0,0,6746,36.14,4,414.48,4,4,414.48,414.48,Beer Hawk - Orders,0.000592943966795,0,0,100%,0.000296384074727,0,-2.00059320778407,0.5,0.470797509635339,3176,3176,6746,
80eeb1792c02a9af375f78f7b69a96ce581ec540,fce2b51cf3988b3927eaa6421bbafab703a4b443,124170767729247,Beer Hawk Ltd,Adset,EC_CA_VAC003_D030_P00_1865_U_CS00_IN000_B000_DM000_MC000_L00_ PV00_MD00,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,228,0.087692307692308,5.7,4.56999999999999,3,126.86,2600,531.88,65,4758.58,65,30.78947368419,4758.58,2254.06421052481,Beer Hawk - Orders,0.025,0.013157894736842,34.2105263157895,47%,0.003061862178479,0.007546570193111,-1.45407874127059,0.072962238362546,5.301,13782.6,6528.6,1231.57894736842,0.93
80eeb1792c02a9af375f78f7b69a96ce581ec540,27148e627c71d58dfd922633b256c4cb071dd1cd,124170767729247,Beer Hawk Ltd,Adset,EC_CA_APD001_D000_P00_1865_U_CS00_IN000_B000_DM000_MC000_L00_ PV00_MD00_Perfect Draft_Kegs,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,341,0.085678391959799,3.08442211055276,4.13,1,237.99,3980,424.15,36,2309.35999999999,36,24.328445747796,2309.35999999999,1560.64276311472,Beer Hawk - Orders,0.009045226130653,0.002932551319648,11.6715542521994,68%,0.001500704191062,0.002928248233956,-1.85772840755062,0.03160379614208,2.99188944723618,11907.72,8047.12,2689.64483545129,0.97
80eeb1792c02a9af375f78f7b69a96ce581ec540,f3384a6265738a787c774bfba10363037f5911c6,124170767729247,Beer Hawk Ltd,Adset,"Oktoberfest-GiftersFriendsOfPeopleWithBirthdays-facebook,instagram,audience_network,messenger-desktopfeed,mobilefeed,rightcolumn,instagramstream,mobileexternal-All-1865-GB",43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,3554,0.612125387530141,3.67275232518085,4.5,1,32.99,5806,39.32,6,315.26,6,4.366347777144,315.26,229.422466703736,Beer Hawk - Orders,0.001033413709955,0.000281373100732,1.6336522228475,73%,0.000421671330948,0.000281333512536,-1.48358536065647,0.068959477734478,3.41565966241819,19831.32,14431.74,4225.16919902457,0.93
80eeb1792c02a9af375f78f7b69a96ce581ec540,9f68f0454bf150da73d16eeadd70469eae32b78f,124170767729247,Beer Hawk Ltd,Adset,"Oktoberfest-BeerCuriousFestival-facebook,instagram,audience_network,messenger-desktopfeed,mobilefeed,rightcolumn,instagramstream,mobileexternal-All-1865-GB",43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,2668,0.097886703845025,3.1323745230408,2.11,0,0,27256,169.68,32,1487.35,32,32,1487.35,1487.35,Beer Hawk - Orders,0.001174053419431,0,0,100%,0.000207423413183,0,-5.66017790092455,0.5,1.5661872615204,42688,42688,27256,
80eeb1792c02a9af375f78f7b69a96ce581ec540,0c04e993d52fee64ce5c03cf21e71da73c9e4e23,124170767729247,Beer Hawk Ltd,Adset,"Oktoberfest-GermanExPats-facebook,instagram,audience_network,messenger-desktopfeed,mobilefeed,rightcolumn,instagramstream,mobileexternal-All-1865-GB",43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,296,0.138836772983114,1,0.59,0,0,2132,25.39,0,0,0,0,0,0,Beer Hawk - Orders,0,0,0,0%,0,0,#DIV/0!,0.5,0.5,1066,0,0,
3dd9a182cd8f41d580ff418ee311b1ba2d29e56e,2bd30440955b1bfd0caaca22b41459bf0368ac62,124170767729247,Beer Hawk Ltd,Publisher Platforms,"facebook,instagram,messenger",43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,8305,0.165490993145226,61.2316674637335,56.4799999999999,46,2789.22,50184,2534.06999999999,370,27362.25,370,92.03925346145,27362.25,6806.48935952854,Beer Hawk - Orders,0.007372867846326,0.005538832028898,277.96074653823,25%,0.000381881534011,0.000814391427872,-2.03899234296297,0.020725395878737,60.0070341144588,3011393,749098.28,12483.507826285,0.98
